Ligand Type,ROC-AUC Score,Average Precision,F1-score,MCC,Precision,Recall,Taxonomy
ZN,0.900670581747752,0.6059679431195742,0.6868100881855568,0.6954774508446642,0.6227077804090189,0.8150093370681605,Viruses
ZN,0.9782839129277539,0.7129371370297528,0.8142421070992499,0.8269027700648205,0.7335978835978837,0.9719887955182072,Archaea
ZN,0.9644810016397999,0.8115266663410153,0.8698355077389105,0.8711137746704832,0.8289009808754583,0.9422285700669952,Eukaryota
ZN,0.9092143808515836,0.6267594947317114,0.715046248356567,0.7245574986200547,0.6644484136702035,0.832269330323805,Bacteria
SO4,0.5123559907834101,0.05868816510633771,0.03571428571428572,0.03893872454863574,0.0625,0.025,Viruses
SO4,0.5523266725131492,0.08099714214703584,0.13095238095238096,0.13404451193623793,0.20370370370370372,0.12222222222222223,Archaea
SO4,0.5555910762461981,0.11946768265554376,0.11307525278714026,0.11779334491009452,0.15694444444444444,0.11503739316239316,Eukaryota
SO4,0.5526426769883853,0.09970086325230489,0.11875985105977895,0.1217296007973856,0.16461187214611872,0.10919765166340509,Bacteria
PO4,0.5910686611939798,0.14449889933113674,0.18717003455535305,0.1871854452900943,0.22429338505497448,0.19033689103220405,Bacteria
PO4,0.5550999224298918,0.10187866726112753,0.12380952380952381,0.11950816691036051,0.15,0.11666666666666665,Viruses
PO4,0.5949547912423302,0.14597196831911471,0.20329819003228353,0.2050069142412145,0.246386230257198,0.19591506690652796,Eukaryota
PO4,0.5814374923412639,0.14894568770364872,0.2290448343079922,0.2458891655328301,0.3993055555555555,0.16664862914862916,Archaea
MN,0.9272956565344208,0.5831177656184063,0.7285429385429386,0.7404524378558398,0.6654497354497353,0.8666666666666667,Viruses
MN,0.9978988185979245,0.7833333333333333,0.8780663780663781,0.8829832905510752,0.7833333333333333,1.0,Archaea
MN,0.8156492627500289,0.5604092929392,0.6250838675391102,0.6376635879354384,0.6797101449275362,0.6333793420749942,Bacteria
MN,0.7971148014718294,0.49936406264845407,0.5807288173485355,0.5944723367062298,0.6337022132796781,0.5966465459423207,Eukaryota
MG,0.7486304335444939,0.26895601158511945,0.35562158450611214,0.37136009371933193,0.3010875628460361,0.5133104395604394,Bacteria
MG,0.7842307191666871,0.2739044604438811,0.38027756557168324,0.40350299399013667,0.3211277521761393,0.5912698412698413,Archaea
MG,0.8282283663338472,0.3831071404142354,0.4874056109559757,0.5089831888424687,0.42068986079574916,0.6649082155018831,Eukaryota
MG,0.7946512874936171,0.33004123994630896,0.4432864357864359,0.46899691755754624,0.4158630952380952,0.594404761904762,Viruses
FE2,0.8912454892683528,0.7541969963603546,0.8145316804407714,0.8313304669179356,0.9204545454545454,0.7832792207792209,Eukaryota
FE2,0.9112529328799853,0.685649769572017,0.7681547619047621,0.7902158871351442,0.8134920634920637,0.8263888888888888,Bacteria
FE,0.7868575898853876,0.4794509797246529,0.5503186557032709,0.5637843977108549,0.5906776556776557,0.5762820512820513,Bacteria
FE,0.7595173395445135,0.47612331110215184,0.5510989010989011,0.571252513732357,0.6904761904761905,0.5208333333333334,Archaea
FE,0.8311396842036713,0.6092176862467793,0.650840336134454,0.659082014827914,0.690625,0.6650545634920636,Eukaryota
CU,0.9247403747454088,0.6194116233161001,0.7207439607946708,0.7313763993480363,0.6477374636857397,0.8594827586206897,Bacteria
CU,0.8962168922872673,0.5857514172104747,0.6791220974147806,0.6918059032767707,0.6247967479674799,0.7987804878048781,Eukaryota
CO,0.6457100769600769,0.2998815417446792,0.33832691372798324,0.35094635724694184,0.4454545454545455,0.29175685425685427,Bacteria
CO,0.7333982539919759,0.3723636297803712,0.42066779374471686,0.4238625004787472,0.38873626373626374,0.467948717948718,Eukaryota
CA,0.709276499815114,0.28449697196394685,0.35764120838541624,0.36054762410690755,0.334676971279036,0.43344047425442783,Bacteria
CA,0.782169893092071,0.3391182368692759,0.4358910139585609,0.4449703230492682,0.3723652721547459,0.5877619047619048,Viruses
CA,0.8171044662269277,0.27318413444929707,0.4281333958685983,0.44656654646552735,0.3828703703703704,0.7084733893557423,Archaea
CA,0.8287911779289292,0.45067261557628446,0.5597964169719294,0.5653035671893923,0.5199744975391203,0.6963914142079303,Eukaryota
