Ligand Type,ROC-AUC Score,Average Precision,F1-score,MCC,Precision,Recall,Transmembrane
ZN,0.9199045272663918,0.6642672808291489,0.7409053062159701,0.7495665810978743,0.6921145940013863,0.8507861635220125,1
ZN,0.9528792152754744,0.7709405332120738,0.8358737246585677,0.8388711312460807,0.7913562475025793,0.9193771092010403,0
SO4,0.5532686435870551,0.10555041469747208,0.11506236437488708,0.11816181294268396,0.15817777777777775,0.11114578754578755,0
SO4,0.5265514592933948,0.07742981214332642,0.07857142857142858,0.08858916640647028,0.15,0.05333333333333333,1
PO4,0.5950182016417077,0.15073314397141005,0.2008556190531732,0.201791681817514,0.24311687920842842,0.19720499620766155,0
PO4,0.540631558606357,0.06555570769617859,0.1010920157536699,0.10876954457417558,0.19047619047619047,0.08532643826761474,1
MN,0.8284895741058566,0.5514798763234228,0.6302356817963056,0.6428882441399398,0.6655868696685021,0.6603066623474787,0
MN,0.7490010635915808,0.4113039715759403,0.5131914381914381,0.5283726095965225,0.5972222222222222,0.5,1
MG,0.7913172554660906,0.33097759617575323,0.4278676494316208,0.4468192922089868,0.36936473262418845,0.5948402388931028,0
MG,0.8111106192154834,0.3295306773562186,0.4364850669436911,0.4620704791333801,0.36624660650084384,0.628813559322034,1
FE2,0.9102138506438463,0.7350551269062171,0.8068748711605854,0.8269796436426355,0.8835034013605442,0.8229875283446711,0
FE2,0.8121223564954683,0.5439032648987738,0.6166666666666667,0.6303266326118382,0.6666666666666666,0.625,1
FE,0.792994049808796,0.5101249791358287,0.5718214479946137,0.584430869954107,0.6237961476725521,0.5888398430533262,0
FE,0.8276175950275572,0.5666964367329906,0.632142857142857,0.6432676881026334,0.65625,0.65625,1
CU,0.9175817273264325,0.5850608145717349,0.6945363329480971,0.7074309571948936,0.6173477564102563,0.845,0
CU,0.8933313754156356,0.6914114259065499,0.7412762675920571,0.7468103484706423,0.7261904761904763,0.7894736842105263,1
CO,0.7060883621536238,0.36109286725993667,0.40845677198618385,0.4164721082640034,0.44238095238095243,0.4130070546737214,0
CO,0.5,0.009889755325148583,0.0,0.0,0.0,0.0,1
CA,0.7862860410436066,0.3805003195182621,0.4779941916700478,0.4830349532783077,0.43647137301523214,0.6053875187795068,0
CA,0.791170560841896,0.4249799195971188,0.5208200213183078,0.5251920386343771,0.5099169272873473,0.6045205796584631,1
